recording_index,recording_id,subject_id,gesture_id,class_id,trial_id,source_file,mat_file,native_time_points,frames_extracted
18,S01_G02_T09,1,2,1,9,data_public\capgmyo_dba\dba-s1.zip,001-002-009.mat,1000,64
19,S01_G02_T10,1,2,1,10,data_public\capgmyo_dba\dba-s1.zip,001-002-010.mat,1000,64
20,S01_G03_T01,1,3,2,1,data_public\capgmyo_dba\dba-s1.zip,001-003-001.mat,1000,64
21,S01_G03_T02,1,3,2,2,data_public\capgmyo_dba\dba-s1.zip,001-003-002.mat,1000,64
22,S01_G03_T03,1,3,2,3,data_public\capgmyo_dba\dba-s1.zip,001-003-003.mat,1000,64
23,S01_G03_T04,1,3,2,4,data_public\capgmyo_dba\dba-s1.zip,001-003-004.mat,1000,64
24,S01_G03_T05,1,3,2,5,data_public\capgmyo_dba\dba-s1.zip,001-003-005.mat,1000,64
25,S01_G03_T06,1,3,2,6,data_public\capgmyo_dba\dba-s1.zip,001-003-006.mat,1000,64
26,S01_G03_T07,1,3,2,7,data_public\capgmyo_dba\dba-s1.zip,001-003-007.mat,1000,64
27,S01_G03_T08,1,3,2,8,data_public\capgmyo_dba\dba-s1.zip,001-003-008.mat,1000,64
28,S01_G03_T09,1,3,2,9,data_public\capgmyo_dba\dba-s1.zip,001-003-009.mat,1000,64
29,S01_G03_T10,1,3,2,10,data_public\capgmyo_dba\dba-s1.zip,001-003-010.mat,1000,64
30,S01_G04_T01,1,4,3,1,data_public\capgmyo_dba\dba-s1.zip,001-004-001.mat,1000,64
31,S01_G04_T02,1,4,3,2,data_public\capgmyo_dba\dba-s1.zip,001-004-002.mat,1000,64
32,S01_G04_T03,1,4,3,3,data_public\capgmyo_dba\dba-s1.zip,001-004-003.mat,1000,64
33,S01_G04_T04,1,4,3,4,data_public\capgmyo_dba\dba-s1.zip,001-004-004.mat,1000,64
34,S01_G04_T05,1,4,3,5,data_public\capgmyo_dba\dba-s1.zip,001-004-005.mat,1000,64
35,S01_G04_T06,1,4,3,6,data_public\capgmyo_dba\dba-s1.zip,001-004-006.mat,1000,64
36,S01_G04_T07,1,4,3,7,data_public\capgmyo_dba\dba-s1.zip,001-004-007.mat,1000,64
37,S01_G04_T08,1,4,3,8,data_public\capgmyo_dba\dba-s1.zip,001-004-008.mat,1000,64
38,S01_G04_T09,1,4,3,9,data_public\capgmyo_dba\dba-s1.zip,001-004-009.mat,1000,64
39,S01_G04_T10,1,4,3,10,data_public\capgmyo_dba\dba-s1.zip,001-004-010.mat,1000,64
40,S01_G05_T01,1,5,4,1,data_public\capgmyo_dba\dba-s1.zip,001-005-001.mat,1000,64
41,S01_G05_T02,1,5,4,2,data_public\capgmyo_dba\dba-s1.zip,001-005-002.mat,1000,64
42,S01_G05_T03,1,5,4,3,data_public\capgmyo_dba\dba-s1.zip,001-005-003.mat,1000,64
43,S01_G05_T04,1,5,4,4,data_public\capgmyo_dba\dba-s1.zip,001-005-004.mat,1000,64
44,S01_G05_T05,1,5,4,5,data_public\capgmyo_dba\dba-s1.zip,001-005-005.mat,1000,64
45,S01_G05_T06,1,5,4,6,data_public\capgmyo_dba\dba-s1.zip,001-005-006.mat,1000,64
46,S01_G05_T07,1,5,4,7,data_public\capgmyo_dba\dba-s1.zip,001-005-007.mat,1000,64
47,S01_G05_T08,1,5,4,8,data_public\capgmyo_dba\dba-s1.zip,001-005-008.mat,1000,64
48,S01_G05_T09,1,5,4,9,data_public\capgmyo_dba\dba-s1.zip,001-005-009.mat,1000,64
49,S01_G05_T10,1,5,4,10,data_public\capgmyo_dba\dba-s1.zip,001-005-010.mat,1000,64
50,S01_G06_T01,1,6,5,1,data_public\capgmyo_dba\dba-s1.zip,001-006-001.mat,1000,64
51,S01_G06_T02,1,6,5,2,data_public\capgmyo_dba\dba-s1.zip,001-006-002.mat,1000,64
52,S01_G06_T03,1,6,5,3,data_public\capgmyo_dba\dba-s1.zip,001-006-003.mat,1000,64
53,S01_G06_T04,1,6,5,4,data_public\capgmyo_dba\dba-s1.zip,001-006-004.mat,1000,64
54,S01_G06_T05,1,6,5,5,data_public\capgmyo_dba\dba-s1.zip,001-006-005.mat,1000,64
55,S01_G06_T06,1,6,5,6,data_public\capgmyo_dba\dba-s1.zip,001-006-006.mat,1000,64
56,S01_G06_T07,1,6,5,7,data_public\capgmyo_dba\dba-s1.zip,001-006-007.mat,1000,64
57,S01_G06_T08,1,6,5,8,data_public\capgmyo_dba\dba-s1.zip,001-006-008.mat,1000,64
58,S01_G06_T09,1,6,5,9,data_public\capgmyo_dba\dba-s1.zip,001-006-009.mat,1000,64
59,S01_G06_T10,1,6,5,10,data_public\capgmyo_dba\dba-s1.zip,001-006-010.mat,1000,64
60,S01_G07_T01,1,7,6,1,data_public\capgmyo_dba\dba-s1.zip,001-007-001.mat,1000,64
61,S01_G07_T02,1,7,6,2,data_public\capgmyo_dba\dba-s1.zip,001-007-002.mat,1000,64
62,S01_G07_T03,1,7,6,3,data_public\capgmyo_dba\dba-s1.zip,001-007-003.mat,1000,64
63,S01_G07_T04,1,7,6,4,data_public\capgmyo_dba\dba-s1.zip,001-007-004.mat,1000,64
64,S01_G07_T05,1,7,6,5,data_public\capgmyo_dba\dba-s1.zip,001-007-005.mat,1000,64
65,S01_G07_T06,1,7,6,6,data_public\capgmyo_dba\dba-s1.zip,001-007-006.mat,1000,64
66,S01_G07_T07,1,7,6,7,data_public\capgmyo_dba\dba-s1.zip,001-007-007.mat,1000,64
67,S01_G07_T08,1,7,6,8,data_public\capgmyo_dba\dba-s1.zip,001-007-008.mat,1000,64
68,S01_G07_T09,1,7,6,9,data_public\capgmyo_dba\dba-s1.zip,001-007-009.mat,1000,64
69,S01_G07_T10,1,7,6,10,data_public\capgmyo_dba\dba-s1.zip,001-007-010.mat,1000,64
70,S01_G08_T01,1,8,7,1,data_public\capgmyo_dba\dba-s1.zip,001-008-001.mat,1000,64
71,S01_G08_T02,1,8,7,2,data_public\capgmyo_dba\dba-s1.zip,001-008-002.mat,1000,64
72,S01_G08_T03,1,8,7,3,data_public\capgmyo_dba\dba-s1.zip,001-008-003.mat,1000,64
73,S01_G08_T04,1,8,7,4,data_public\capgmyo_dba\dba-s1.zip,001-008-004.mat,1000,64
74,S01_G08_T05,1,8,7,5,data_public\capgmyo_dba\dba-s1.zip,001-008-005.mat,1000,64
75,S01_G08_T06,1,8,7,6,data_public\capgmyo_dba\dba-s1.zip,001-008-006.mat,1000,64
76,S01_G08_T07,1,8,7,7,data_public\capgmyo_dba\dba-s1.zip,001-008-007.mat,1000,64
77,S01_G08_T08,1,8,7,8,data_public\capgmyo_dba\dba-s1.zip,001-008-008.mat,1000,64
78,S01_G08_T09,1,8,7,9,data_public\capgmyo_dba\dba-s1.zip,001-008-009.mat,1000,64
79,S01_G08_T10,1,8,7,10,data_public\capgmyo_dba\dba-s1.zip,001-008-010.mat,1000,64
80,S02_G01_T01,2,1,0,1,data_public\capgmyo_dba\dba-s2.zip,002-001-001.mat,1000,64
81,S02_G01_T02,2,1,0,2,data_public\capgmyo_dba\dba-s2.zip,002-001-002.mat,1000,64
82,S02_G01_T03,2,1,0,3,data_public\capgmyo_dba\dba-s2.zip,002-001-003.mat,1000,64
83,S02_G01_T04,2,1,0,4,data_public\capgmyo_dba\dba-s2.zip,002-001-004.mat,1000,64
84,S02_G01_T05,2,1,0,5,data_public\capgmyo_dba\dba-s2.zip,002-001-005.mat,1000,64
85,S02_G01_T06,2,1,0,6,data_public\capgmyo_dba\dba-s2.zip,002-001-006.mat,1000,64
86,S02_G01_T07,2,1,0,7,data_public\capgmyo_dba\dba-s2.zip,002-001-007.mat,1000,64
87,S02_G01_T08,2,1,0,8,data_public\capgmyo_dba\dba-s2.zip,002-001-008.mat,1000,64
88,S02_G01_T09,2,1,0,9,data_public\capgmyo_dba\dba-s2.zip,002-001-009.mat,1000,64
89,S02_G01_T10,2,1,0,10,data_public\capgmyo_dba\dba-s2.zip,002-001-010.mat,1000,64
90,S02_G02_T01,2,2,1,1,data_public\capgmyo_dba\dba-s2.zip,002-002-001.mat,1000,64
91,S02_G02_T02,2,2,1,2,data_public\capgmyo_dba\dba-s2.zip,002-002-002.mat,1000,64
92,S02_G02_T03,2,2,1,3,data_public\capgmyo_dba\dba-s2.zip,002-002-003.mat,1000,64
93,S02_G02_T04,2,2,1,4,data_public\capgmyo_dba\dba-s2.zip,002-002-004.mat,1000,64
94,S02_G02_T05,2,2,1,5,data_public\capgmyo_dba\dba-s2.zip,002-002-005.mat,1000,64
95,S02_G02_T06,2,2,1,6,data_public\capgmyo_dba\dba-s2.zip,002-002-006.mat,1000,64
96,S02_G02_T07,2,2,1,7,data_public\capgmyo_dba\dba-s2.zip,002-002-007.mat,1000,64
97,S02_G02_T08,2,2,1,8,data_public\capgmyo_dba\dba-s2.zip,002-002-008.mat,1000,64
98,S02_G02_T09,2,2,1,9,data_public\capgmyo_dba\dba-s2.zip,002-002-009.mat,1000,64
99,S02_G02_T10,2,2,1,10,data_public\capgmyo_dba\dba-s2.zip,002-002-010.mat,1000,64
100,S02_G03_T01,2,3,2,1,data_public\capgmyo_dba\dba-s2.zip,002-003-001.mat,1000,64
101,S02_G03_T02,2,3,2,2,data_public\capgmyo_dba\dba-s2.zip,002-003-002.mat,1000,64
102,S02_G03_T03,2,3,2,3,data_public\capgmyo_dba\dba-s2.zip,002-003-003.mat,1000,64
103,S02_G03_T04,2,3,2,4,data_public\capgmyo_dba\dba-s2.zip,002-003-004.mat,1000,64
104,S02_G03_T05,2,3,2,5,data_public\capgmyo_dba\dba-s2.zip,002-003-005.mat,1000,64
105,S02_G03_T06,2,3,2,6,data_public\capgmyo_dba\dba-s2.zip,002-003-006.mat,1000,64
106,S02_G03_T07,2,3,2,7,data_public\capgmyo_dba\dba-s2.zip,002-003-007.mat,1000,64
107,S02_G03_T08,2,3,2,8,data_public\capgmyo_dba\dba-s2.zip,002-003-008.mat,1000,64
108,S02_G03_T09,2,3,2,9,data_public\capgmyo_dba\dba-s2.zip,002-003-009.mat,1000,64
109,S02_G03_T10,2,3,2,10,data_public\capgmyo_dba\dba-s2.zip,002-003-010.mat,1000,64
110,S02_G04_T01,2,4,3,1,data_public\capgmyo_dba\dba-s2.zip,002-004-001.mat,1000,64
111,S02_G04_T02,2,4,3,2,data_public\capgmyo_dba\dba-s2.zip,002-004-002.mat,1000,64
112,S02_G04_T03,2,4,3,3,data_public\capgmyo_dba\dba-s2.zip,002-004-003.mat,1000,64
113,S02_G04_T04,2,4,3,4,data_public\capgmyo_dba\dba-s2.zip,002-004-004.mat,1000,64
114,S02_G04_T05,2,4,3,5,data_public\capgmyo_dba\dba-s2.zip,002-004-005.mat,1000,64
115,S02_G04_T06,2,4,3,6,data_public\capgmyo_dba\dba-s2.zip,002-004-006.mat,1000,64
116,S02_G04_T07,2,4,3,7,data_public\capgmyo_dba\dba-s2.zip,002-004-007.mat,1000,64
117,S02_G04_T08,2,4,3,8,data_public\capgmyo_dba\dba-s2.zip,002-004-008.mat,1000,64
118,S02_G04_T09,2,4,3,9,data_public\capgmyo_dba\dba-s2.zip,002-004-009.mat,1000,64
119,S02_G04_T10,2,4,3,10,data_public\capgmyo_dba\dba-s2.zip,002-004-010.mat,1000,64
120,S02_G05_T01,2,5,4,1,data_public\capgmyo_dba\dba-s2.zip,002-005-001.mat,1000,64
121,S02_G05_T02,2,5,4,2,data_public\capgmyo_dba\dba-s2.zip,002-005-002.mat,1000,64
122,S02_G05_T03,2,5,4,3,data_public\capgmyo_dba\dba-s2.zip,002-005-003.mat,1000,64
123,S02_G05_T04,2,5,4,4,data_public\capgmyo_dba\dba-s2.zip,002-005-004.mat,1000,64
124,S02_G05_T05,2,5,4,5,data_public\capgmyo_dba\dba-s2.zip,002-005-005.mat,1000,64
125,S02_G05_T06,2,5,4,6,data_public\capgmyo_dba\dba-s2.zip,002-005-006.mat,1000,64
126,S02_G05_T07,2,5,4,7,data_public\capgmyo_dba\dba-s2.zip,002-005-007.mat,1000,64
127,S02_G05_T08,2,5,4,8,data_public\capgmyo_dba\dba-s2.zip,002-005-008.mat,1000,64
128,S02_G05_T09,2,5,4,9,data_public\capgmyo_dba\dba-s2.zip,002-005-009.mat,1000,64
129,S02_G05_T10,2,5,4,10,data_public\capgmyo_dba\dba-s2.zip,002-005-010.mat,1000,64
130,S02_G06_T01,2,6,5,1,data_public\capgmyo_dba\dba-s2.zip,002-006-001.mat,1000,64
131,S02_G06_T02,2,6,5,2,data_public\capgmyo_dba\dba-s2.zip,002-006-002.mat,1000,64
132,S02_G06_T03,2,6,5,3,data_public\capgmyo_dba\dba-s2.zip,002-006-003.mat,1000,64
133,S02_G06_T04,2,6,5,4,data_public\capgmyo_dba\dba-s2.zip,002-006-004.mat,1000,64
134,S02_G06_T05,2,6,5,5,data_public\capgmyo_dba\dba-s2.zip,002-006-005.mat,1000,64
135,S02_G06_T06,2,6,5,6,data_public\capgmyo_dba\dba-s2.zip,002-006-006.mat,1000,64
136,S02_G06_T07,2,6,5,7,data_public\capgmyo_dba\dba-s2.zip,002-006-007.mat,1000,64
137,S02_G06_T08,2,6,5,8,data_public\capgmyo_dba\dba-s2.zip,002-006-008.mat,1000,64
138,S02_G06_T09,2,6,5,9,data_public\capgmyo_dba\dba-s2.zip,002-006-009.mat,1000,64
139,S02_G06_T10,2,6,5,10,data_public\capgmyo_dba\dba-s2.zip,002-006-010.mat,1000,64
140,S02_G07_T01,2,7,6,1,data_public\capgmyo_dba\dba-s2.zip,002-007-001.mat,1000,64
141,S02_G07_T02,2,7,6,2,data_public\capgmyo_dba\dba-s2.zip,002-007-002.mat,1000,64
142,S02_G07_T03,2,7,6,3,data_public\capgmyo_dba\dba-s2.zip,002-007-003.mat,1000,64
143,S02_G07_T04,2,7,6,4,data_public\capgmyo_dba\dba-s2.zip,002-007-004.mat,1000,64
144,S02_G07_T05,2,7,6,5,data_public\capgmyo_dba\dba-s2.zip,002-007-005.mat,1000,64
145,S02_G07_T06,2,7,6,6,data_public\capgmyo_dba\dba-s2.zip,002-007-006.mat,1000,64
146,S02_G07_T07,2,7,6,7,data_public\capgmyo_dba\dba-s2.zip,002-007-007.mat,1000,64
147,S02_G07_T08,2,7,6,8,data_public\capgmyo_dba\dba-s2.zip,002-007-008.mat,1000,64
148,S02_G07_T09,2,7,6,9,data_public\capgmyo_dba\dba-s2.zip,002-007-009.mat,1000,64
149,S02_G07_T10,2,7,6,10,data_public\capgmyo_dba\dba-s2.zip,002-007-010.mat,1000,64
150,S02_G08_T01,2,8,7,1,data_public\capgmyo_dba\dba-s2.zip,002-008-001.mat,1000,64
151,S02_G08_T02,2,8,7,2,data_public\capgmyo_dba\dba-s2.zip,002-008-002.mat,1000,64
152,S02_G08_T03,2,8,7,3,data_public\capgmyo_dba\dba-s2.zip,002-008-003.mat,1000,64
153,S02_G08_T04,2,8,7,4,data_public\capgmyo_dba\dba-s2.zip,002-008-004.mat,1000,64
154,S02_G08_T05,2,8,7,5,data_public\capgmyo_dba\dba-s2.zip,002-008-005.mat,1000,64
155,S02_G08_T06,2,8,7,6,data_public\capgmyo_dba\dba-s2.zip,002-008-006.mat,1000,64
156,S02_G08_T07,2,8,7,7,data_public\capgmyo_dba\dba-s2.zip,002-008-007.mat,1000,64
157,S02_G08_T08,2,8,7,8,data_public\capgmyo_dba\dba-s2.zip,002-008-008.mat,1000,64
158,S02_G08_T09,2,8,7,9,data_public\capgmyo_dba\dba-s2.zip,002-008-009.mat,1000,64
159,S02_G08_T10,2,8,7,10,data_public\capgmyo_dba\dba-s2.zip,002-008-010.mat,1000,64
160,S03_G01_T01,3,1,0,1,data_public\capgmyo_dba\dba-s3.zip,003-001-001.mat,1000,64
161,S03_G01_T02,3,1,0,2,data_public\capgmyo_dba\dba-s3.zip,003-001-002.mat,1000,64
162,S03_G01_T03,3,1,0,3,data_public\capgmyo_dba\dba-s3.zip,003-001-003.mat,1000,64
163,S03_G01_T04,3,1,0,4,data_public\capgmyo_dba\dba-s3.zip,003-001-004.mat,1000,64
164,S03_G01_T05,3,1,0,5,data_public\capgmyo_dba\dba-s3.zip,003-001-005.mat,1000,64
165,S03_G01_T06,3,1,0,6,data_public\capgmyo_dba\dba-s3.zip,003-001-006.mat,1000,64
166,S03_G01_T07,3,1,0,7,data_public\capgmyo_dba\dba-s3.zip,003-001-007.mat,1000,64
167,S03_G01_T08,3,1,0,8,data_public\capgmyo_dba\dba-s3.zip,003-001-008.mat,1000,64
168,S03_G01_T09,3,1,0,9,data_public\capgmyo_dba\dba-s3.zip,003-001-009.mat,1000,64
169,S03_G01_T10,3,1,0,10,data_public\capgmyo_dba\dba-s3.zip,003-001-010.mat,1000,64
170,S03_G02_T01,3,2,1,1,data_public\capgmyo_dba\dba-s3.zip,003-002-001.mat,1000,64
171,S03_G02_T02,3,2,1,2,data_public\capgmyo_dba\dba-s3.zip,003-002-002.mat,1000,64
172,S03_G02_T03,3,2,1,3,data_public\capgmyo_dba\dba-s3.zip,003-002-003.mat,1000,64
173,S03_G02_T04,3,2,1,4,data_public\capgmyo_dba\dba-s3.zip,003-002-004.mat,1000,64
174,S03_G02_T05,3,2,1,5,data_public\capgmyo_dba\dba-s3.zip,003-002-005.mat,1000,64
175,S03_G02_T06,3,2,1,6,data_public\capgmyo_dba\dba-s3.zip,003-002-006.mat,1000,64
176,S03_G02_T07,3,2,1,7,data_public\capgmyo_dba\dba-s3.zip,003-002-007.mat,1000,64
177,S03_G02_T08,3,2,1,8,data_public\capgmyo_dba\dba-s3.zip,003-002-008.mat,1000,64
178,S03_G02_T09,3,2,1,9,data_public\capgmyo_dba\dba-s3.zip,003-002-009.mat,1000,64
179,S03_G02_T10,3,2,1,10,data_public\capgmyo_dba\dba-s3.zip,003-002-010.mat,1000,64
180,S03_G03_T01,3,3,2,1,data_public\capgmyo_dba\dba-s3.zip,003-003-001.mat,1000,64
181,S03_G03_T02,3,3,2,2,data_public\capgmyo_dba\dba-s3.zip,003-003-002.mat,1000,64
182,S03_G03_T03,3,3,2,3,data_public\capgmyo_dba\dba-s3.zip,003-003-003.mat,1000,64
183,S03_G03_T04,3,3,2,4,data_public\capgmyo_dba\dba-s3.zip,003-003-004.mat,1000,64
184,S03_G03_T05,3,3,2,5,data_public\capgmyo_dba\dba-s3.zip,003-003-005.mat,1000,64
185,S03_G03_T06,3,3,2,6,data_public\capgmyo_dba\dba-s3.zip,003-003-006.mat,1000,64
186,S03_G03_T07,3,3,2,7,data_public\capgmyo_dba\dba-s3.zip,003-003-007.mat,1000,64
187,S03_G03_T08,3,3,2,8,data_public\capgmyo_dba\dba-s3.zip,003-003-008.mat,1000,64
188,S03_G03_T09,3,3,2,9,data_public\capgmyo_dba\dba-s3.zip,003-003-009.mat,1000,64
189,S03_G03_T10,3,3,2,10,data_public\capgmyo_dba\dba-s3.zip,003-003-010.mat,1000,64
190,S03_G04_T01,3,4,3,1,data_public\capgmyo_dba\dba-s3.zip,003-004-001.mat,1000,64
191,S03_G04_T02,3,4,3,2,data_public\capgmyo_dba\dba-s3.zip,003-004-002.mat,1000,64
192,S03_G04_T03,3,4,3,3,data_public\capgmyo_dba\dba-s3.zip,003-004-003.mat,1000,64
193,S03_G04_T04,3,4,3,4,data_public\capgmyo_dba\dba-s3.zip,003-004-004.mat,1000,64
194,S03_G04_T05,3,4,3,5,data_public\capgmyo_dba\dba-s3.zip,003-004-005.mat,1000,64
195,S03_G04_T06,3,4,3,6,data_public\capgmyo_dba\dba-s3.zip,003-004-006.mat,1000,64
196,S03_G04_T07,3,4,3,7,data_public\capgmyo_dba\dba-s3.zip,003-004-007.mat,1000,64
197,S03_G04_T08,3,4,3,8,data_public\capgmyo_dba\dba-s3.zip,003-004-008.mat,1000,64
198,S03_G04_T09,3,4,3,9,data_public\capgmyo_dba\dba-s3.zip,003-004-009.mat,1000,64
199,S03_G04_T10,3,4,3,10,data_public\capgmyo_dba\dba-s3.zip,003-004-010.mat,1000,64
200,S03_G05_T01,3,5,4,1,data_public\capgmyo_dba\dba-s3.zip,003-005-001.mat,1000,64
201,S03_G05_T02,3,5,4,2,data_public\capgmyo_dba\dba-s3.zip,003-005-002.mat,1000,64
202,S03_G05_T03,3,5,4,3,data_public\capgmyo_dba\dba-s3.zip,003-005-003.mat,1000,64
203,S03_G05_T04,3,5,4,4,data_public\capgmyo_dba\dba-s3.zip,003-005-004.mat,1000,64
204,S03_G05_T05,3,5,4,5,data_public\capgmyo_dba\dba-s3.zip,003-005-005.mat,1000,64
205,S03_G05_T06,3,5,4,6,data_public\capgmyo_dba\dba-s3.zip,003-005-006.mat,1000,64
206,S03_G05_T07,3,5,4,7,data_public\capgmyo_dba\dba-s3.zip,003-005-007.mat,1000,64
207,S03_G05_T08,3,5,4,8,data_public\capgmyo_dba\dba-s3.zip,003-005-008.mat,1000,64
208,S03_G05_T09,3,5,4,9,data_public\capgmyo_dba\dba-s3.zip,003-005-009.mat,1000,64
209,S03_G05_T10,3,5,4,10,data_public\capgmyo_dba\dba-s3.zip,003-005-010.mat,1000,64
210,S03_G06_T01,3,6,5,1,data_public\capgmyo_dba\dba-s3.zip,003-006-001.mat,1000,64
211,S03_G06_T02,3,6,5,2,data_public\capgmyo_dba\dba-s3.zip,003-006-002.mat,1000,64
212,S03_G06_T03,3,6,5,3,data_public\capgmyo_dba\dba-s3.zip,003-006-003.mat,1000,64
213,S03_G06_T04,3,6,5,4,data_public\capgmyo_dba\dba-s3.zip,003-006-004.mat,1000,64
214,S03_G06_T05,3,6,5,5,data_public\capgmyo_dba\dba-s3.zip,003-006-005.mat,1000,64
215,S03_G06_T06,3,6,5,6,data_public\capgmyo_dba\dba-s3.zip,003-006-006.mat,1000,64
216,S03_G06_T07,3,6,5,7,data_public\capgmyo_dba\dba-s3.zip,003-006-007.mat,1000,64
217,S03_G06_T08,3,6,5,8,data_public\capgmyo_dba\dba-s3.zip,003-006-008.mat,1000,64
218,S03_G06_T09,3,6,5,9,data_public\capgmyo_dba\dba-s3.zip,003-006-009.mat,1000,64
219,S03_G06_T10,3,6,5,10,data_public\capgmyo_dba\dba-s3.zip,003-006-010.mat,1000,64
220,S03_G07_T01,3,7,6,1,data_public\capgmyo_dba\dba-s3.zip,003-007-001.mat,1000,64
221,S03_G07_T02,3,7,6,2,data_public\capgmyo_dba\dba-s3.zip,003-007-002.mat,1000,64
222,S03_G07_T03,3,7,6,3,data_public\capgmyo_dba\dba-s3.zip,003-007-003.mat,1000,64
223,S03_G07_T04,3,7,6,4,data_public\capgmyo_dba\dba-s3.zip,003-007-004.mat,1000,64
224,S03_G07_T05,3,7,6,5,data_public\capgmyo_dba\dba-s3.zip,003-007-005.mat,1000,64
225,S03_G07_T06,3,7,6,6,data_public\capgmyo_dba\dba-s3.zip,003-007-006.mat,1000,64
226,S03_G07_T07,3,7,6,7,data_public\capgmyo_dba\dba-s3.zip,003-007-007.mat,1000,64
227,S03_G07_T08,3,7,6,8,data_public\capgmyo_dba\dba-s3.zip,003-007-008.mat,1000,64
228,S03_G07_T09,3,7,6,9,data_public\capgmyo_dba\dba-s3.zip,003-007-009.mat,1000,64
229,S03_G07_T10,3,7,6,10,data_public\capgmyo_dba\dba-s3.zip,003-007-010.mat,1000,64
230,S03_G08_T01,3,8,7,1,data_public\capgmyo_dba\dba-s3.zip,003-008-001.mat,1000,64
231,S03_G08_T02,3,8,7,2,data_public\capgmyo_dba\dba-s3.zip,003-008-002.mat,1000,64
232,S03_G08_T03,3,8,7,3,data_public\capgmyo_dba\dba-s3.zip,003-008-003.mat,1000,64
233,S03_G08_T04,3,8,7,4,data_public\capgmyo_dba\dba-s3.zip,003-008-004.mat,1000,64
234,S03_G08_T05,3,8,7,5,data_public\capgmyo_dba\dba-s3.zip,003-008-005.mat,1000,64
235,S03_G08_T06,3,8,7,6,data_public\capgmyo_dba\dba-s3.zip,003-008-006.mat,1000,64
236,S03_G08_T07,3,8,7,7,data_public\capgmyo_dba\dba-s3.zip,003-008-007.mat,1000,64
237,S03_G08_T08,3,8,7,8,data_public\capgmyo_dba\dba-s3.zip,003-008-008.mat,1000,64
238,S03_G08_T09,3,8,7,9,data_public\capgmyo_dba\dba-s3.zip,003-008-009.mat,1000,64
239,S03_G08_T10,3,8,7,10,data_public\capgmyo_dba\dba-s3.zip,003-008-010.mat,1000,64
240,S04_G01_T01,4,1,0,1,data_public\capgmyo_dba\dba-s4.zip,004-001-001.mat,1000,64
241,S04_G01_T02,4,1,0,2,data_public\capgmyo_dba\dba-s4.zip,004-001-002.mat,1000,64
242,S04_G01_T03,4,1,0,3,data_public\capgmyo_dba\dba-s4.zip,004-001-003.mat,1000,64
243,S04_G01_T04,4,1,0,4,data_public\capgmyo_dba\dba-s4.zip,004-001-004.mat,1000,64
244,S04_G01_T05,4,1,0,5,data_public\capgmyo_dba\dba-s4.zip,004-001-005.mat,1000,64
245,S04_G01_T06,4,1,0,6,data_public\capgmyo_dba\dba-s4.zip,004-001-006.mat,1000,64
246,S04_G01_T07,4,1,0,7,data_public\capgmyo_dba\dba-s4.zip,004-001-007.mat,1000,64
247,S04_G01_T08,4,1,0,8,data_public\capgmyo_dba\dba-s4.zip,004-001-008.mat,1000,64
248,S04_G01_T09,4,1,0,9,data_public\capgmyo_dba\dba-s4.zip,004-001-009.mat,1000,64
249,S04_G01_T10,4,1,0,10,data_public\capgmyo_dba\dba-s4.zip,004-001-010.mat,1000,64
250,S04_G02_T01,4,2,1,1,data_public\capgmyo_dba\dba-s4.zip,004-002-001.mat,1000,64
251,S04_G02_T02,4,2,1,2,data_public\capgmyo_dba\dba-s4.zip,004-002-002.mat,1000,64
