recording_id,subject_id,condition,action_code,feature_rows,raw_emg_shape,raw_imu_shape,source_action_file
S01_P2_ET_cell06,1,P2,ET,700,85104x16,6304x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P2\ET.mat
S01_P2_PN_cell07,1,P2,PN,700,85239x16,6316x144,Bingbin_Realtime\Bingbin_Realtime\Subject1\P2\PN.mat
S02_Dynamic_PN_cell01,2,Dynamic,PN,675,86967x16,6442x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\Dynamic\PN.mat
S02_Dynamic_FL_cell02,2,Dynamic,FL,675,86535x16,6412x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\Dynamic\FL.mat
S02_Dynamic_RT_cell03,2,Dynamic,RT,675,86832x16,6432x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\Dynamic\RT.mat
S02_Dynamic_SN_cell04,2,Dynamic,SN,675,85725x16,6350x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\Dynamic\SN.mat
S02_Dynamic_HO_cell05,2,Dynamic,HO,675,86265x16,6390x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\Dynamic\HO.mat
S02_Dynamic_HC_cell06,2,Dynamic,HC,675,85590x16,6340x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\Dynamic\HC.mat
S02_Dynamic_ET_cell07,2,Dynamic,ET,675,86454x16,6404x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\Dynamic\ET.mat
S02_P0_ET_cell01,2,P0,ET,584,85995x16,6368x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P0\ET.mat
S02_P0_RT_cell02,2,P0,RT,584,85806x16,6354x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P0\RT.mat
S02_P0_HO_cell03,2,P0,HO,584,86238x16,6386x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P0\HO.mat
S02_P0_PN_cell04,2,P0,PN,584,86751x16,6426x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P0\PN.mat
S02_P0_HC_cell05,2,P0,HC,584,85887x16,6364x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P0\HC.mat
S02_P0_FL_cell06,2,P0,FL,584,87129x16,6456x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P0\FL.mat
S02_P0_SN_cell07,2,P0,SN,584,85860x16,6364x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P0\SN.mat
S02_P1_HC_cell01,2,P1,HC,725,86454x16,6402x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P1\HC.mat
S02_P1_FL_cell02,2,P1,FL,725,86076x16,6376x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P1\FL.mat
S02_P1_RT_cell03,2,P1,RT,725,85779x16,6310x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P1\RT.mat
S02_P1_SN_cell04,2,P1,SN,725,86346x16,6392x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P1\SN.mat
S02_P1_HO_cell05,2,P1,HO,725,86535x16,6412x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P1\HO.mat
S02_P1_ET_cell06,2,P1,ET,725,86805x16,6432x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P1\ET.mat
S02_P1_PN_cell07,2,P1,PN,725,86238x16,6388x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P1\PN.mat
S02_P2_HO_cell01,2,P2,HO,700,85347x16,6320x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P2\HO.mat
S02_P2_RT_cell02,2,P2,RT,700,87048x16,6446x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P2\RT.mat
S02_P2_ET_cell03,2,P2,ET,700,86076x16,6376x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P2\ET.mat
S02_P2_PN_cell04,2,P2,PN,700,86562x16,6416x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P2\PN.mat
S02_P2_SN_cell05,2,P2,SN,700,86292x16,6390x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P2\SN.mat
S02_P2_HC_cell06,2,P2,HC,700,86022x16,6372x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P2\HC.mat
S02_P2_FL_cell07,2,P2,FL,700,87129x16,6458x144,Bingbin_Realtime\Bingbin_Realtime\Subject2\P2\FL.mat
S03_Dynamic_ET_cell01,3,Dynamic,ET,650,86805x16,6432x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\Dynamic\ET.mat
S03_Dynamic_HO_cell02,3,Dynamic,HO,650,85833x16,6356x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\Dynamic\HO.mat
S03_Dynamic_SN_cell03,3,Dynamic,SN,650,85860x16,6580x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\Dynamic\SN.mat
S03_Dynamic_HC_cell04,3,Dynamic,HC,650,87561x16,6482x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\Dynamic\HC.mat
S03_Dynamic_PN_cell05,3,Dynamic,PN,650,86076x16,6374x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\Dynamic\PN.mat
S03_Dynamic_RT_cell06,3,Dynamic,RT,650,86535x16,6414x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\Dynamic\RT.mat
S03_Dynamic_FL_cell07,3,Dynamic,FL,650,87561x16,6422x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\Dynamic\FL.mat
S03_P0_RT_cell01,3,P0,RT,617,86319x16,6396x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P0\RT.mat
S03_P0_SN_cell02,3,P0,SN,617,86535x16,6414x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P0\SN.mat
S03_P0_HO_cell03,3,P0,HO,617,86832x16,6428x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P0\HO.mat
S03_P0_HC_cell04,3,P0,HC,617,86211x16,6384x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P0\HC.mat
S03_P0_PN_cell05,3,P0,PN,617,86265x16,6392x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P0\PN.mat
S03_P0_FL_cell06,3,P0,FL,617,87075x16,6448x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P0\FL.mat
S03_P0_ET_cell07,3,P0,ET,617,86454x16,6406x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P0\ET.mat
S03_P1_RT_cell01,3,P1,RT,517,86886x16,6436x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P1\RT.mat
S03_P1_FL_cell02,3,P1,FL,517,86103x16,6378x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P1\FL.mat
S03_P1_PN_cell03,3,P1,PN,517,85239x16,6318x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P1\PN.mat
S03_P1_ET_cell04,3,P1,ET,517,86805x16,6386x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P1\ET.mat
S03_P1_HC_cell05,3,P1,HC,517,86292x16,6396x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P1\HC.mat
S03_P1_HO_cell06,3,P1,HO,517,86832x16,6430x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P1\HO.mat
S03_P1_SN_cell07,3,P1,SN,517,86427x16,6364x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P1\SN.mat
S03_P2_RT_cell01,3,P2,RT,542,86967x16,6438x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P2\RT.mat
S03_P2_SN_cell02,3,P2,SN,542,85914x16,6368x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P2\SN.mat
S03_P2_FL_cell03,3,P2,FL,542,85563x16,6340x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P2\FL.mat
S03_P2_ET_cell04,3,P2,ET,542,86265x16,6514x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P2\ET.mat
S03_P2_PN_cell05,3,P2,PN,542,86319x16,6396x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P2\PN.mat
S03_P2_HO_cell06,3,P2,HO,542,86994x16,6446x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P2\HO.mat
S03_P2_HC_cell07,3,P2,HC,542,86562x16,6408x144,Bingbin_Realtime\Bingbin_Realtime\Subject3\P2\HC.mat
S04_Dynamic_FL_cell01,4,Dynamic,FL,708,86211x16,6388x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\Dynamic\FL.mat
S04_Dynamic_HC_cell02,4,Dynamic,HC,708,85941x16,6406x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\Dynamic\HC.mat
S04_Dynamic_RT_cell03,4,Dynamic,RT,708,86103x16,6378x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\Dynamic\RT.mat
S04_Dynamic_HO_cell04,4,Dynamic,HO,708,85860x16,6530x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\Dynamic\HO.mat
S04_Dynamic_SN_cell05,4,Dynamic,SN,708,86913x16,6440x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\Dynamic\SN.mat
S04_Dynamic_ET_cell06,4,Dynamic,ET,708,88236x16,6534x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\Dynamic\ET.mat
S04_Dynamic_PN_cell07,4,Dynamic,PN,708,85401x16,6406x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\Dynamic\PN.mat
S04_P0_RT_cell01,4,P0,RT,683,86103x16,6378x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P0\RT.mat
S04_P0_SN_cell02,4,P0,SN,683,85671x16,6346x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P0\SN.mat
S04_P0_FL_cell03,4,P0,FL,683,88398x16,6546x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P0\FL.mat
S04_P0_ET_cell04,4,P0,ET,683,85752x16,6470x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P0\ET.mat
S04_P0_PN_cell05,4,P0,PN,683,86319x16,6396x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P0\PN.mat
S04_P0_HO_cell06,4,P0,HO,683,85968x16,6366x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P0\HO.mat
S04_P0_HC_cell07,4,P0,HC,683,85833x16,6370x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P0\HC.mat
S04_P1_HO_cell01,4,P1,HO,691,86481x16,6406x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P1\HO.mat
S04_P1_FL_cell02,4,P1,FL,691,86346x16,6398x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P1\FL.mat
S04_P1_SN_cell03,4,P1,SN,691,86292x16,6396x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P1\SN.mat
S04_P1_HC_cell04,4,P1,HC,691,85752x16,6350x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P1\HC.mat
S04_P1_RT_cell05,4,P1,RT,691,88695x16,6572x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P1\RT.mat
S04_P1_ET_cell06,4,P1,ET,691,86373x16,6448x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P1\ET.mat
S04_P1_PN_cell07,4,P1,PN,691,87804x16,6504x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P1\PN.mat
S04_P2_ET_cell01,4,P2,ET,708,86724x16,6426x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P2\ET.mat
S04_P2_PN_cell02,4,P2,PN,708,85752x16,6416x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P2\PN.mat
S04_P2_HC_cell03,4,P2,HC,708,86778x16,6432x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P2\HC.mat
S04_P2_RT_cell04,4,P2,RT,708,86319x16,6396x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P2\RT.mat
S04_P2_FL_cell05,4,P2,FL,708,85509x16,6464x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P2\FL.mat
S04_P2_HO_cell06,4,P2,HO,708,86805x16,6430x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P2\HO.mat
S04_P2_SN_cell07,4,P2,SN,708,86913x16,6438x144,Bingbin_Realtime\Bingbin_Realtime\Subject4\P2\SN.mat
