subject_id,fold_id,model_type,feature_dim,train_validation_window_count,test_window_count,param_count_estimate,support_vectors_or_trees,final_fit_seconds
5,S05_personal_fold08,ShrinkageLDA,198,490,642,990,,0.03763729999991483
6,S06_personal_fold01,ShrinkageLDA,1386,1810,115,6930,,6.166788700000325
6,S06_personal_fold02,ShrinkageLDA,198,7369,480,990,,0.3158346000018355
6,S06_personal_fold03,ShrinkageLDA,198,1463,95,990,,0.07141889999911655
6,S06_personal_fold04,ShrinkageLDA,1386,1809,116,6930,,6.040326700000151
6,S06_personal_fold05,ShrinkageLDA,1386,2181,140,6930,,6.9253025999969395
6,S06_personal_fold06,RandomForest,198,2181,140,,80,1.0413098000026366
6,S06_personal_fold07,ShrinkageLDA,792,4402,285,3960,,2.8482359999979963
6,S06_personal_fold08,ShrinkageLDA,1386,808,1117,6930,,4.2015055999982
7,S07_personal_fold01,RBF-SVM,792,2248,140,,1078,8.851675300000352
7,S07_personal_fold02,ShrinkageLDA,1386,1863,115,6930,,6.3601158000019495
7,S07_personal_fold03,ShrinkageLDA,198,3758,235,990,,0.17715359999783686
7,S07_personal_fold04,ShrinkageLDA,792,1863,115,3960,,1.4227161999988311
7,S07_personal_fold05,ShrinkageLDA,1386,1863,115,6930,,6.244166599997698
7,S07_personal_fold06,RBF-SVM,1386,1863,115,,982,12.580909600001178
7,S07_personal_fold07,ShrinkageLDA,198,1122,70,990,,0.07064649999665562
7,S07_personal_fold08,ShrinkageLDA,198,805,1173,990,,0.05000840000138851
8,S08_personal_fold01,LogisticRegression,198,2910,190,990,,0.31873519999862765
8,S08_personal_fold02,ShrinkageLDA,1386,1083,70,6930,,4.934772900000098
8,S08_personal_fold03,ShrinkageLDA,792,1083,70,3960,,1.1915991000023496
8,S08_personal_fold04,RandomForest,198,1798,116,,80,0.8998256000013498
8,S08_personal_fold05,ShrinkageLDA,198,1799,115,990,,0.11570510000092327
8,S08_personal_fold06,ShrinkageLDA,198,1453,95,990,,0.09358729999803472
8,S08_personal_fold07,ShrinkageLDA,198,7325,480,990,,0.36863889999949606
8,S08_personal_fold08,ShrinkageLDA,198,1648,2215,990,,0.10744069999782369
10,S10_personal_fold01,ShrinkageLDA,1386,1422,95,6930,,6.327211499999976
10,S10_personal_fold02,ShrinkageLDA,198,1058,70,990,,0.05762180000238004
10,S10_personal_fold03,ShrinkageLDA,1386,1422,95,6930,,5.844219700000394
10,S10_personal_fold04,RBF-SVM,1386,2844,190,,1594,35.89083219999884
10,S10_personal_fold05,RandomForest,792,1058,70,,80,1.1551865000001271
10,S10_personal_fold06,LogisticRegression,198,1422,95,990,,0.2628495000026305
10,S10_personal_fold07,ShrinkageLDA,198,1758,115,990,,0.0932409999986703
10,S10_personal_fold08,ShrinkageLDA,198,490,638,990,,0.04405839999890304
